COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
HEL CUCU,MIR_GRP,CFK05,202,23,0,0
ISO SINU,MIR_GRP,CFK05,202,23,0,0
LOB SPE.,MIR_GRP,CFK05,202,23,0,0
MAC CALC,MIR_GRP,CFK05,202,23,0,0
MAC FLES,MIR_GRP,CFK05,202,23,0.008695652173913045,0.018633484466375205
MAD DECA,MIR_GRP,CFK05,202,23,0,0
MAG SPE.,MIR_GRP,CFK05,202,23,0,0
MEA MEAN,MIR_GRP,CFK05,202,23,0,0
MIL SPE.,MIR_GRP,CFK05,202,23,0.02391304347826087,0.03066204888819602
MON CAVE,MIR_GRP,CFK05,202,23,0,0
ORB ANNU,MIR_GRP,CFK05,202,23,0,0
ORB FAVE,MIR_GRP,CFK05,202,23,0.007826086956521738,0.017685026989225753
ORB FRAN,MIR_GRP,CFK05,202,23,0,0
OTH SPE.,MIR_GRP,CFK05,202,23,0,0
PAL SPE.,MIR_GRP,CFK05,202,23,0.09521739130434784,0.05890738605499067
PEY SPE.,MIR_GRP,CFK05,202,23,0.0026086956521739132,0.010237265962010493
POR ASTR,MIR_GRP,CFK05,202,23,0.0482608695652174,0.043012632603419705
POR PORI,MIR_GRP,CFK05,202,23,0.002173913043478261,0.009347339170175158
POR SPE.,MIR_GRP,CFK05,202,23,0,0
PSE CLIV,MIR_GRP,CFK05,202,23,0,0
PSE STRI,MIR_GRP,CFK05,202,23,0,0
RAM SPE.,MIR_GRP,CFK05,202,23,0.022173913043478263,0.029552312469441715
RHO CRUS,MIR_GRP,CFK05,202,23,0.017826086956521738,0.0265559411874149
SID RADI,MIR_GRP,CFK05,202,23,8.695652173913044e-4,0.005915639012205417
SID SIDE,MIR_GRP,CFK05,202,23,0.0026086956521739132,0.010237265962010493
SOL BOUR,MIR_GRP,CFK05,202,23,0,0
SOL SPE.,MIR_GRP,CFK05,202,23,0,0
SPO OTHE,MIR_GRP,CFK05,202,23,0.002173913043478261,0.009347339170175158
STE INTE,MIR_GRP,CFK05,202,23,0,0
TUR FREE,MIR_GRP,CFK05,202,23,0.5352173913043479,0.10009895264807697
TUR SEDI,MIR_GRP,CFK05,202,23,0.0991304347826087,0.05997551051217131
ACR CERV,MIR_GRP,CFK06,109,4,0,0
ACR PALM,MIR_GRP,CFK06,109,4,0,0
AGA AGAR,MIR_GRP,CFK06,109,4,0.005,0.03996845086090007
AGA HUMI,MIR_GRP,CFK06,109,4,0,0
AGA LAMA,MIR_GRP,CFK06,109,4,0,0
AGA SPE.,MIR_GRP,CFK06,109,4,0,0
BAR SUB.,MIR_GRP,CFK06,109,4,0.1075,0.17552101340520168
CLI SPE.,MIR_GRP,CFK06,109,4,0,0
COL NATA,MIR_GRP,CFK06,109,4,0,0
CYA SPE.,MIR_GRP,CFK06,109,4,0,0
DIC SPE.,MIR_GRP,CFK06,109,4,0.165,0.21033230588543114
DIC STOK,MIR_GRP,CFK06,109,4,0,0
DIP LABY,MIR_GRP,CFK06,109,4,0,0
EUS FAST,MIR_GRP,CFK06,109,4,0.0025,0.0282974453413031
GOR ENCR,MIR_GRP,CFK06,109,4,0,0
GOR GORG,MIR_GRP,CFK06,109,4,0.02,0.07933207410405564
HAL SPE.,MIR_GRP,CFK06,109,4,0.0075,0.04888962010619882
HEL CUCU,MIR_GRP,CFK06,109,4,0,0
