REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,MEAN_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
FLK,1241,1,2022,8,2,SPGR_HR,CS15,NA,NA,0.328,25.29411,-80.17136,3917371,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD3,10.97279965,11.88719962,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1247,1,2022,7,12,ISOL_HR,CS06,NA,NA,NA,24.46419,-81.90593,1941714,Lower Keys,8,Offshore Patch Reef,3,Unprotected,0,NA,0,CD0,8.534399727,9.753599688,9,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1283,1,2022,10,4,CONT_HR,CS15,NA,NA,0.523333333,24.65934,-80.99064,2657579,Middle Keys,9,Forereef,4,Unprotected,0,NA,0,CD3,17.06879945,17.37359944,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1294,1,2022,8,25,CONT_LR,CS14,NA,NA,0.146666667,25.16652,-80.23596,3796668,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD3,14.32559954,14.93519952,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1299,1,2022,8,5,SPGR_HR,CS15,NA,NA,0.44,25.05788,-80.32717,3668906,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD3,13.10639958,13.41119957,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1302,1,2022,8,24,ISOL_HR,CS17,NA,NA,0.726666667,24.98587,-80.41078,3578202,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD4,18.59279941,20.11679936,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1305,1,2022,8,25,CONT_MR,CS14,NA,NA,0.147333333,25.18333,-80.2286,3813145,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD3,14.02079955,14.63039953,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1313,1,2022,8,16,SPGR_HR,CS15,NA,NA,0.3,25.48157,-80.10792,4041860,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD3,14.32559954,15.84959949,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1316,1,2022,8,18,SPGR_HR,CS15,NA,NA,0.632666667,25.5831,-80.0925,4087315,Biscayne,12,Forereef,4,Unprotected,0,NA,0,CD3,13.71599956,14.32559954,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1321,1,2022,7,12,SPGR_HR,CS17,NA,NA,NA,24.44043,-81.86946,1899586,Lower Keys,8,Forereef,4,Unprotected,0,NA,0,CD4,21.33599932,22.55519928,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
