analysis_group,strat_cora,cover_cat_cd,n,avp,ntot,se_p
NCRMP_GRP,CFK06,LOB SPE.,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,LOB SPE.,10,0.00000,15960,0.00000
MIR_GRP,CFK01,MAC CALC,8,0.01250,101,0.04030
MIR_GRP,CFK02,MAC CALC,12,0.00167,110,0.01161
MIR_GRP,CFK03,MAC CALC,7,0.00000,78,0.00000
MIR_GRP,CFK05,MAC CALC,23,0.00000,202,0.00000
MIR_GRP,CFK06,MAC CALC,4,0.00000,109,0.00000
MIR_GRP,CFK07,MAC CALC,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,MAC CALC,10,0.02800,4718,0.05493
NCRMP_GRP,CFK02,MAC CALC,20,0.02600,30239,0.03650
NCRMP_GRP,CFK03,MAC CALC,9,0.00889,15652,0.03318
NCRMP_GRP,CFK05,MAC CALC,7,0.00143,2596,0.01540
NCRMP_GRP,CFK06,MAC CALC,9,0.02556,36727,0.05579
NCRMP_GRP,CFK07,MAC CALC,10,0.00700,15960,0.02778
MIR_GRP,CFK01,MAC FLES,8,0.00250,101,0.01811
MIR_GRP,CFK02,MAC FLES,12,0.09135,110,0.08199
MIR_GRP,CFK03,MAC FLES,7,0.00143,78,0.01471
MIR_GRP,CFK05,MAC FLES,23,0.00870,202,0.01863
MIR_GRP,CFK06,MAC FLES,4,0.00250,109,0.02830
MIR_GRP,CFK07,MAC FLES,32,0.00281,339,0.00905
NCRMP_GRP,CFK01,MAC FLES,10,0.20700,4718,0.13491
NCRMP_GRP,CFK02,MAC FLES,20,0.02900,30239,0.03848
NCRMP_GRP,CFK03,MAC FLES,9,0.03778,15652,0.06739
NCRMP_GRP,CFK05,MAC FLES,7,0.07286,2596,0.10596
NCRMP_GRP,CFK06,MAC FLES,9,0.08222,36727,0.09711
NCRMP_GRP,CFK07,MAC FLES,10,0.01000,15960,0.03316
MIR_GRP,CFK01,MAD DECA,8,0.00000,101,0.00000
MIR_GRP,CFK02,MAD DECA,12,0.00000,110,0.00000
MIR_GRP,CFK03,MAD DECA,7,0.00000,78,0.00000
MIR_GRP,CFK05,MAD DECA,23,0.00000,202,0.00000
MIR_GRP,CFK06,MAD DECA,4,0.00000,109,0.00000
MIR_GRP,CFK07,MAD DECA,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,MAD DECA,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,MAD DECA,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,MAD DECA,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,MAD DECA,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,MAD DECA,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,MAD DECA,10,0.00100,15960,0.01053
MIR_GRP,CFK01,MAG SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,MAG SPE.,12,0.00000,110,0.00000
MIR_GRP,CFK03,MAG SPE.,7,0.00000,78,0.00000
MIR_GRP,CFK05,MAG SPE.,23,0.00000,202,0.00000
MIR_GRP,CFK06,MAG SPE.,4,0.00000,109,0.00000
MIR_GRP,CFK07,MAG SPE.,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,MAG SPE.,10,0.06400,4718,0.08150
NCRMP_GRP,CFK02,MAG SPE.,20,0.04200,30239,0.04600
NCRMP_GRP,CFK03,MAG SPE.,9,0.02444,15652,0.05458
NCRMP_GRP,CFK05,MAG SPE.,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,MAG SPE.,9,0.01000,36727,0.03517
NCRMP_GRP,CFK07,MAG SPE.,10,0.00000,15960,0.00000
MIR_GRP,CFK01,MEA MEAN,8,0.00000,101,0.00000
MIR_GRP,CFK02,MEA MEAN,12,0.00000,110,0.00000
MIR_GRP,CFK03,MEA MEAN,7,0.00000,78,0.00000
MIR_GRP,CFK05,MEA MEAN,23,0.00000,202,0.00000
MIR_GRP,CFK06,MEA MEAN,4,0.00000,109,0.00000
MIR_GRP,CFK07,MEA MEAN,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,MEA MEAN,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,MEA MEAN,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,MEA MEAN,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,MEA MEAN,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,MEA MEAN,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,MEA MEAN,10,0.00000,15960,0.00000
MIR_GRP,CFK01,MIL SPE.,8,0.00000,101,0.00000
MIR_GRP,CFK02,MIL SPE.,12,0.00000,110,0.00000
MIR_GRP,CFK03,MIL SPE.,7,0.00714,78,0.03280
MIR_GRP,CFK05,MIL SPE.,23,0.02391,202,0.03066
MIR_GRP,CFK06,MIL SPE.,4,0.00250,109,0.02830
MIR_GRP,CFK07,MIL SPE.,32,0.01094,339,0.01778
NCRMP_GRP,CFK01,MIL SPE.,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,MIL SPE.,20,0.00900,30239,0.02166
NCRMP_GRP,CFK03,MIL SPE.,9,0.01556,15652,0.04374
NCRMP_GRP,CFK05,MIL SPE.,7,0.02571,2596,0.06453
NCRMP_GRP,CFK06,MIL SPE.,9,0.01444,36727,0.04218
NCRMP_GRP,CFK07,MIL SPE.,10,0.01400,15960,0.03915
MIR_GRP,CFK01,MON CAVE,8,0.00500,101,0.02558
MIR_GRP,CFK02,MON CAVE,12,0.02417,110,0.04370
MIR_GRP,CFK03,MON CAVE,7,0.00000,78,0.00000
MIR_GRP,CFK05,MON CAVE,23,0.00000,202,0.00000
MIR_GRP,CFK06,MON CAVE,4,0.00250,109,0.02830
MIR_GRP,CFK07,MON CAVE,32,0.00125,339,0.00604
NCRMP_GRP,CFK01,MON CAVE,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,MON CAVE,20,0.00900,30239,0.02166
NCRMP_GRP,CFK03,MON CAVE,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,MON CAVE,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,MON CAVE,9,0.00111,36727,0.01178
NCRMP_GRP,CFK07,MON CAVE,10,0.00000,15960,0.00000
MIR_GRP,CFK01,ORB ANNU,8,0.01000,101,0.03609
MIR_GRP,CFK02,ORB ANNU,12,0.05707,110,0.06602
MIR_GRP,CFK03,ORB ANNU,7,0.03571,78,0.07228
MIR_GRP,CFK05,ORB ANNU,23,0.00000,202,0.00000
MIR_GRP,CFK06,ORB ANNU,4,0.00000,109,0.00000
MIR_GRP,CFK07,ORB ANNU,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,ORB ANNU,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,ORB ANNU,20,0.00350,30239,0.01354
NCRMP_GRP,CFK03,ORB ANNU,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,ORB ANNU,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,ORB ANNU,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,ORB ANNU,10,0.00000,15960,0.00000
MIR_GRP,CFK01,ORB FAVE,8,0.00375,101,0.02217
MIR_GRP,CFK02,ORB FAVE,12,0.05536,110,0.06508
MIR_GRP,CFK03,ORB FAVE,7,0.02714,78,0.06329
MIR_GRP,CFK05,ORB FAVE,23,0.00783,202,0.01769
MIR_GRP,CFK06,ORB FAVE,4,0.00000,109,0.00000
MIR_GRP,CFK07,ORB FAVE,32,0.01219,339,0.01875
NCRMP_GRP,CFK01,ORB FAVE,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,ORB FAVE,20,0.02850,30239,0.03816
NCRMP_GRP,CFK03,ORB FAVE,9,0.00222,15652,0.01664
NCRMP_GRP,CFK05,ORB FAVE,7,0.00000,2596,0.00000
NCRMP_GRP,CFK06,ORB FAVE,9,0.00000,36727,0.00000
NCRMP_GRP,CFK07,ORB FAVE,10,0.00000,15960,0.00000
MIR_GRP,CFK01,ORB FRAN,8,0.00000,101,0.00000
MIR_GRP,CFK02,ORB FRAN,12,0.00000,110,0.00000
MIR_GRP,CFK03,ORB FRAN,7,0.00000,78,0.00000
MIR_GRP,CFK05,ORB FRAN,23,0.00000,202,0.00000
MIR_GRP,CFK06,ORB FRAN,4,0.00000,109,0.00000
MIR_GRP,CFK07,ORB FRAN,32,0.00000,339,0.00000
NCRMP_GRP,CFK01,ORB FRAN,10,0.00000,4718,0.00000
NCRMP_GRP,CFK02,ORB FRAN,20,0.00000,30239,0.00000
NCRMP_GRP,CFK03,ORB FRAN,9,0.00000,15652,0.00000
NCRMP_GRP,CFK05,ORB FRAN,7,0.00000,2596,0.00000
