YEAR,COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
2022,PAL SPE.,MIR_GRP,CFK03,78,7,0.01286,0.04388
2022,PEY SPE.,MIR_GRP,CFK03,78,7,0.00143,0.01471
2022,POR ASTR,MIR_GRP,CFK03,78,7,0.00857,0.03591
2022,POR DIVA,MIR_GRP,CFK03,78,7,0,0
2022,POR PORI,MIR_GRP,CFK03,78,7,0.00286,0.02079
2022,POR SPE.,MIR_GRP,CFK03,78,7,0,0
2022,PSE CLIV,MIR_GRP,CFK03,78,7,0,0
2022,PSE STRI,MIR_GRP,CFK03,78,7,0,0
2022,RAM SPE.,MIR_GRP,CFK03,78,7,0.00143,0.01471
2022,RHO CRUS,MIR_GRP,CFK03,78,7,0.00857,0.03591
2022,SID RADI,MIR_GRP,CFK03,78,7,0,0
2022,SID SIDE,MIR_GRP,CFK03,78,7,0,0
2022,SOL BOUR,MIR_GRP,CFK03,78,7,0,0
2022,SOL SPE.,MIR_GRP,CFK03,78,7,0,0
2022,SPO OTHE,MIR_GRP,CFK03,78,7,0.00571,0.02936
2022,STE INTE,MIR_GRP,CFK03,78,7,0,0
2022,TUR FREE,MIR_GRP,CFK03,78,7,0.49857,0.19475
2022,TUR SEDI,MIR_GRP,CFK03,78,7,0.18571,0.15147
2024,ACR CERV,MIR_GRP,CFK03,78,8,0,0
2024,ACR PALM,MIR_GRP,CFK03,78,8,0,0
2024,AGA AGAR,MIR_GRP,CFK03,78,8,0,0
2024,AGA HUMI,MIR_GRP,CFK03,78,8,0,0
2024,AGA LAMA,MIR_GRP,CFK03,78,8,0,0
2024,AGA SPE.,MIR_GRP,CFK03,78,8,0,0
2024,BAR SUB.,MIR_GRP,CFK03,78,8,0.03625,0.06693
2024,CLI SPE.,MIR_GRP,CFK03,78,8,0,0
2024,COL NATA,MIR_GRP,CFK03,78,8,0,0
2024,CYA SPE.,MIR_GRP,CFK03,78,8,0.005,0.02526
2024,DIC SPE.,MIR_GRP,CFK03,78,8,0.14375,0.12562
2024,DIC STOK,MIR_GRP,CFK03,78,8,0,0
2024,DIP LABY,MIR_GRP,CFK03,78,8,0,0
2024,DIP SPE.,MIR_GRP,CFK03,78,8,0,0
2024,EUS FAST,MIR_GRP,CFK03,78,8,0.00125,0.01265
2024,GOR ENCR,MIR_GRP,CFK03,78,8,0.00125,0.01265
